"","DAY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Overall_Avg"
"21","23-Jul",93.307785125296,85.5672249407793,88.499655366614,89.9098532885679,97.1400118812907,88.2520400067579,91,86.2768045338897,88.2619479603682,89.994874571051,91.3782600937658,78.9776598574271,94.2931210506987,83.2296434678676,94.288117387105,95.1224824848719,95.4315090519998,86.7924517089112,83.8343139767966,93.4638137674634,89.3149495355067
"22","24-Jul",91.1189330712388,87.9756686729955,89.6556932037077,91.683790380544,87.8119075237011,91.3273240012102,89,80.5456109312867,91.5373053491855,90.1370972275033,86.9777273420838,80.5158741813158,90.3054638413688,85.6453587622568,96.349783944016,93.0281353466351,97.6923017148838,85.5091210327553,89.0387547981005,89.8488245915448,88.9172133150272
"23","25-Jul",91.5974967761511,89.0940240990114,90.022493641759,92.2879021228896,82.6238493432218,85.0117388496108,87,81.7471419859068,93.8817005864856,89.2480080798103,86.9959509978607,85.967283488767,89.4461086568577,87.1742326824417,94.2587420945854,92.9970697992237,97.5771928530992,86.7136036531918,87.9386981200313,91.7115633792706,88.8864335033276
"24","26-Jul",85.9992542229444,90.0990107501647,86.2386114327851,91.0715629733487,75.3771614477438,82.8820243643124,84,84.0593148846561,89.6392947492362,91.0494450446249,87.817471422901,87.2478263861892,89.7663596658688,89.2781459466761,94.6642303112347,90.9065120587006,98.6474929092565,89.3657044278153,88.9417066537082,91.1653136060373,87.9645563176388
"25","27-Jul",83.9105819051518,90.1258352495645,86.8059289561989,92.1144841190912,82.5914592428595,89.1024536938471,86,87.4667982640005,87.0958465126172,93.129907200588,92.0578551794411,87.4617681387068,88.5068576052492,91.5146478583438,94.7668330634425,94.9999831144538,98.5398343982407,87.6263064289841,89.9445675365319,91.885725757259,89.0455699091966
"26","28-Jul",81.854464109138,92.0069079620201,80.7290453227176,92.4732280606093,88.7664655260269,91.141110683363,89,87.402115196407,84.1410893051504,91.5043076732456,94.4651401409974,90.3503578207461,90.0312053966715,90.4333782890486,93.0994636339434,94.9697681987286,97.2838064539102,83.9456744911197,93.0454427101828,92.839736081574,89.3119890843517
"27","29-Jul",79.167494250101,92.111325504809,85.3836792038551,92.6037467893925,91.8387368805694,84.8335456709213,91,89.6235300960077,87.4692584138527,89.4909269224675,95.720973990798,89.8941513891976,92.5994718740131,89.3023389970702,90.1977555517783,90.8196045358347,97.2366180139939,86.1238585189155,90.895980459443,94.6908798968121,89.7070609889212
"28","30-Jul",85.253689321465,90.1256817959888,87.5132193086746,92.6577874006455,89.7468827534274,90.0129933275087,91,88.3985615923972,86.6392050495369,82.7743189499768,91.8582376589448,87.6923948581004,92.8567738149226,85.6703942662068,92.9923753577152,93.8854861134785,93.6984662116619,86.6603237463188,82.4593893334432,94.1432276755084,89.2043033611725
"29","31-Jul",88.1994987116402,88.9340063480571,88.927253343962,95.5469147337807,87.6580007864496,89.9693640772151,88,83.7890639169839,88.0557995296693,77.4379039721939,91.1560211686543,92.0052722639046,91.5718167438302,82.2311810532388,94.4761247393258,96.9493770511929,96.0811417547649,89.9429938019211,84.5349984187718,94.8640902594779,89.3600617828419
"30","1-Aug",86.7458253803349,73.2910493646664,86.2076930281579,97.939200782472,86.6043522020801,87.8414746577891,90,88.372562794969,89.1829331515738,82.5143925510752,93.4829859814818,90.9211976357948,89.7118489477397,83.8709591130649,94.8115044029108,96.9206912192237,86.737492000168,82.8176552258427,85.5578194630474,94.110406189273,88.2218576307842
"31","2-Aug",85.5694052169678,79.6716670590689,85.4849256043059,96.5852249611457,86.5847969398829,84.6760237561989,93,83.7666677078709,90.2437601541636,81.2129419525116,94.7242182307343,92.4912955230067,89.6654605896301,87.6914475527253,95.7421736881389,91.7417950122397,93.9450276910224,86.4846362806799,81.3341337725777,90.5246030435531,88.3344855982264
"32","3-Aug",87.7150927003418,84.0930232589059,82.1787677738255,93.9917833625563,81.4040874660006,84.6469076614896,91,83.7989999798339,89.6951508432397,84.8396237744365,94.9498649430191,92.7204167618522,91.6511465821391,83.7295824342012,85.737978883022,96.8704584896387,99.7855168828433,89.0079049107456,84.4649674163004,94.1112449943369,88.4473007239174
"33","4-Aug",84.6729937211554,88.3297339989613,82.8741561257539,89.5621596446672,84.4880844301361,84.619045586278,91,83.8268520497608,90.3761448509055,87.1119357646571,96.6273008249456,94.5904860335794,91.6983235137344,88.5347339891059,90.385693623224,97.8743726415497,93.8235601970488,88.8407803576434,88.6384574394855,94.7441069445519,89.2309518228518
"34","5-Aug",88.0478760798168,89.6334366468313,84.6803969772648,88.8241684999501,88.601720865226,86.6785227853119,91,81.5737097316953,90.5379858049802,90.1708053675276,97.7504535867534,97.7897367766782,91.6925611024594,91.489577972712,93.9873580356575,85.4853679886143,85.6890082658398,90.3517735009148,90.7052783371147,97.3955262604665,90.0226021052293
"35","6-Aug",90.615528218133,88.7406505606806,88.3575878528173,90.0265454351845,91.6793229276346,88.7354383232441,93,83.909914704013,89.7852575555006,87.7099298456401,96.3182193317131,97.3182609724409,92.342663924251,92.2518798889669,93.0849817757546,96.8030720733269,89.4057959626103,89.1235666033455,89.6215877992658,96.1449899615306,90.8983369130841
"36","7-Aug",88.37377845104,84.7542743406367,88.6141532761877,91.8691410274182,91.6573418081471,84.5314847351561,97,81.6452626017563,84.84161725971,85.6050187199074,90.3303973796797,98.941378948382,93.9134031941916,89.9199006524694,92.8942929456776,93.688160630792,84.8395149780365,88.7695395229661,92.7383139617776,89.9072455007828,89.60805689309
"37","8-Aug",89.4732570446184,84.3839072213259,88.6997086148607,92.4890638981981,91.636071940399,86.5947331478652,87,83.9715526718826,81.3426014223577,79.80814902707,95.7875162731011,99.1014592523679,91.7797463186982,90.9441174380166,91.1592703915321,93.6673675642249,82.6999289976824,87.0593778878536,95.8493115138279,88.7400855775245,88.9735601498563
"38","9-Aug",85.3925657917348,80.4593805912698,86.3805411866129,92.7018107813822,91.6154903101378,88.6552574746856,87,83.9754945469695,81.359419610386,81.0938710888609,95.9613720523153,100.890138950633,88.2601280133171,92.0319266781919,92.4946185297528,94.6774181949497,92.2462498641157,84.2049335595066,90.5622428189507,91.9264808650433,88.6819945300979
"39","10-Aug",87.7321373700013,73.330024155136,82.6134227701873,91.3482352865944,96.7573616167969,87.5839661436351,86,86.2560252026312,82.9683472859503,84.0535219018652,95.1747702277458,104.019929040828,86.2528923930128,93.1284800210429,93.6492594463287,91.5663034378696,87.5402267845784,88.2094834972469,89.4855720849579,93.3484059077623,88.8374706267632
"40","11-Aug",87.9790347226829,79.4996003542179,85.5231961466613,90.1930355434433,95.7004979749114,88.6018845689169,88,87.3591159290055,76.171208307757,82.5194919362647,95.84997941755,104.469463235875,85.4940720030152,93.3867191966444,93.9070126432335,95.6700540420059,86.4504033897472,90.0341671399713,86.3145094518662,94.4438991855455,89.0827039992628
"41","12-Aug",87.4390429193488,85.8492507512909,87.1412909559279,94.1124770900423,89.4836873232745,86.4898223568474,89,83.893651638654,80.2247178655822,86.1121914862863,89.4270673744898,101.372413751763,87.2304042324218,95.0858201354072,94.8162645679739,94.6195926478019,84.209245120552,90.4865736495045,83.1518421190944,92.0615310044498,89.0937841049648
"42","13-Aug",85.9597294734502,88.3219071098832,84.4650737012772,96.8450617287662,89.4680364620788,86.4687258879705,91,80.4926855705049,79.5594850541167,87.4388870224398,84.9866001396102,90.7480897331245,83.1542818879316,87.9980588388898,95.0139830294081,95.6310868179752,87.8395331439621,90.5780972602329,88.3897768490434,90.7509840483212,88.0086881395557
"43","14-Aug",84.1276895978068,88.5108693690204,85.3120199889396,97.0324230674818,89.4528920219621,81.2331898739871,91,87.3943878508176,77.0297748900267,85.7264827365874,81.7247340014236,98.2340621600006,81.6259792668153,89.441387619819,95.9047893335208,95.6120182609718,91.3650233091387,89.7814658816008,84.174338244367,89.6404445496905,87.962594813286
"44","15-Aug",84.7377083586973,87.5317295797025,80.854996423371,97.8059972242488,89.4382376164581,87.4815642665432,89,89.6168735093641,80.4539524996632,89.2940780812671,86.0409962118508,99.0783595453334,83.0827108673719,89.8377292827552,90.1375305579134,94.5633104426109,87.8055215851563,84.7829536025972,85.2148595334177,90.2773518837261,88.1259805759733
"45","16-Aug",86.9087375091872,88.3913540854931,81.216622617585,94.4809575662793,94.5858443583289,84.3316145732202,88,90.6699623886549,81.2390849632212,91.5449232060101,86.0074528037971,102.16177778544,85.6575380761281,89.9472539143576,89.7358924668662,88.364997222082,84.3390480961609,75.5182577846149,87.3024694927613,90.3815781105609,87.9116603601543
"46","17-Aug",88.3784123496976,91.3480598136685,84.4896860520404,93.380213793015,97.6639601431233,90.575749850156,90,86.0228573839023,83.0201015325183,88.9895325897226,88.4559773671795,101.778200128605,85.9477288065911,88.3122029748403,89.6681817038901,90.4143995274121,91.4465631803627,68.3383570172468,88.3367024399853,90.3879898529877,88.5442415932896
"47","18-Aug",89.5837285362685,91.5759164211609,83.8487684411906,95.1651254233518,99.7071909109061,91.5940221481781,91,89.4353925879158,85.0253128415345,89.6641943383501,86.4464782627775,101.563136523811,85.3786347049465,87.0551131789719,90.523975287661,92.4623091210449,86.7072340474996,65.7001631054268,89.3692553249562,89.5226135335657,88.8850169700238
"48","19-Aug",90.0455109174582,89.6281734630219,86.0437633594466,97.1878148121305,101.749022843711,91.5684378325868,93,90.5136288244576,85.4863371537997,89.7439085883988,87.7175814013226,97.5170288641968,85.837354087797,87.5763356705798,92.4290538833683,94.5087711059,86.7559121813783,73.7956558360306,89.3511332529891,88.4982919666201,89.8794201248415
"49","20-Aug",89.5839357226588,89.4338097261237,89.0203532846581,97.8545775208196,101.724786416592,87.371676894251,91,90.4424565632635,87.988060486797,88.827813970847,87.9486584172156,94.6592448442705,88.7052404230862,89.4026061122299,92.0030103965152,96.5538292220931,83.2976872376052,79.9199131587138,86.1866685211962,89.1549978485471,90.2069128666546
"50","21-Aug",88.7753028439847,88.4267776560553,81.2090425155328,91.6331014057663,97.5719046418843,86.3125992745707,93,86.9654439697269,87.7627271045524,91.5396470270253,92.0817039909584,95.1199531774034,89.7733624042676,88.2296882021896,92.7659671120373,93.446448758468,83.4144606341721,83.1219837001465,89.3247393683323,88.4123812037159,89.4344244409728
"51","22-Aug",89.1234449613888,82.510146787805,82.9829833789454,91.0084424682084,87.2298253601604,88.3852750036166,93,88.1087998105604,82.9361326273251,93.6955273520214,91.1966456715671,98.2958843005217,86.7897875625965,87.9249944488499,92.9364129116559,94.4631745450045,88.1768973084151,83.9563975219145,92.4560340644984,89.121790535494,89.1124686470736
"52","23-Aug",89.9061001703978,79.086460808467,85.8520786586377,90.8102943314105,86.1900314166752,90.4548206157242,91,88.0937236930095,83.445493513291,92.9911717599669,88.5811262046749,103.93889417858,83.6403601006087,85.3573922666887,93.8260113351017,98.5700412325643,83.4824054638537,87.3435768150038,93.4827304698434,91.8064951972153,89.3013611513143
"53","24-Aug",90.2080884974185,80.7343072567442,86.6586345492172,90.0383422254667,88.2485972828933,88.3490923940659,95,90.3578716316934,83.5681271956848,87.3228661577521,87.2874368837959,99.2313312933203,79.7618147008122,81.369812891089,93.1682498133913,92.3715246383501,88.2335449654325,89.8033370267481,93.4590393387371,88.0178253363414,88.5021898790597
"54","25-Aug",90.3291449476764,81.8535051269344,87.6715361472254,82.6399655313382,92.3699828979168,93.5494052752283,93,89.1697147568511,85.9935387014798,84.8725017370263,83.7794238649047,95.1380843792387,81.6900326938802,84.5306461575881,90.4705758815063,93.3905142890884,85.8621739097379,85.6570735933123,88.1911241670883,89.0218285973952,87.8824621691683
"55","26-Aug",85.8772008605678,83.891076750928,89.5231970110839,81.6422715115347,92.3580112155893,90.396533694596,91,88.0076303094196,82.5638758089984,83.6960024091564,84.7781084143251,93.3136918983098,79.0493294307876,86.2506627480833,89.0373216050904,95.4391455853705,84.7188204335343,82.9652860591045,83.9854349091526,84.9281312046481,86.6285868844712
"56","27-Aug",86.7868572800495,86.9715425914195,90.8164900822906,86.3445139418091,90.2817121180993,91.4225247665677,88,89.1451404947049,84.9825642103203,83.5873110229108,87.4142842775128,91.1163758907112,81.443553707876,89.2283646983399,89.5908774983885,99.5467383181803,90.5969210588921,82.2540344951178,86.0843044205485,85.8808527419707,88.0174202129638
"57","28-Aug",84.5629611887233,90.1345620543853,89.593665070478,87.2038927359797,90.2725966481555,91.4043267801692,84,90.2635962376421,87.1294806686055,85.4561540866103,87.8935212751745,86.9273873195985,80.3268216917868,84.1857605604185,88.8772686619493,95.409356683308,90.4976711188919,85.2438843608939,88.1783216785583,85.1994384887341,87.5876635858307
"58","29-Aug",85.0231600050605,90.3905925830183,90.0302333105071,88.9321524676346,92.3284909186642,80.9562162498219,82,91.3656378646363,89.2136465226367,85.6637992584939,89.6170579687719,86.2739160777414,83.96437559149,76.1967253811785,87.0355104545665,95.3969877967649,78.7522255307828,89.1979853416314,91.3168021665926,83.363760143791,87.127206332742
"59","30-Aug",86.4919051953333,91.3601959147693,92.4990796284454,90.2290987290515,92.317861808649,86.1734501621167,82,89.0378373441531,87.2982272344698,84.763380281622,89.930384011216,87.4238219233958,87.3557702710855,83.3125137208943,84.101519646927,93.3245617895386,85.9573114805739,91.805051485169,92.3503317041998,81.3180760582388,88.0035834743367
"60","31-Aug",84.4777701352603,91.4222163480484,93.170029537288,90.6646399601191,88.1781470537283,80.9506315651182,78,87.8940268198645,87.6660772072727,84.6803296172311,88.3509293332011,87.9345183512159,88.6225367686304,79.4306118920494,84.3423266805592,90.2241087390398,78.966790542835,88.4897906663015,88.1368289626113,74.965428396418,86.0856290162271
"61","1-Sep",82.4421819541136,88.5001404792682,91.7672946580752,85.8065257460353,87.1400252855553,81.9958274779168,77,89.047278756481,86.9566047088885,84.6828199821278,81.5181363114708,85.298760153651,88.4134092281716,78.4477527963953,87.8328209110802,92.2777680498936,89.6350101872919,89.9841094387668,89.1791911077241,82.3499968782476,85.7883837590807
"62","2-Sep",80.3991199563202,88.231378799812,88.2220729400679,87.0707530081605,78.8766352818406,79.9098679220024,84,87.9021599593069,82.8162848819785,84.6938814934176,84.3670232992953,82.9407214514987,83.6028361614296,71.5864664721808,89.4689658690499,95.3600214477441,91.8619667588421,90.3565006851693,90.2194742311126,86.2751841173223,85.189068568581
"63","3-Sep",75.1361130646784,91.1025273067663,84.8789215805106,89.6467861860978,80.9453418302092,74.6984017152069,84,85.6385824126231,80.2922282249838,87.5040992180296,85.7031370849626,81.6777814092351,84.4956814892079,75.6935551958982,90.6870186708897,96.379358672286,89.3861081425871,85.6671277300675,90.2087030179646,89.5572745963315,85.0749037716624
"64","4-Sep",82.1789775900004,93.2729033175418,78.4639004341084,85.4993410995079,81.9794678199346,72.6252521775747,89,86.8272306416731,80.5255781128639,86.8724808343748,85.127825047732,86.5365061133014,83.4822564134825,77.7099322473571,91.8065641620561,95.3376807624938,84.6568308562497,89.1952896517037,92.2966151227575,89.2994092661067,85.6038952245028
"65","5-Sep",82.9042686971569,81.8175135232372,86.9214376666751,90.574839497191,87.1419191567755,80.9859494881767,95,86.8511708594172,81.3825651210718,84.9471350897981,87.4778601382005,90.7013086843294,84.4532529417489,81.6350200470507,85.2411231554393,79.8742462054892,75.3837311862774,89.3132168982406,81.7912845624078,91.806865043062,85.6322581445582
